Blog	years	most	than	make	into	would	today	two	his	don	day	because	had	see	any	many	post	way	these	still	use	know	then	read	back	work	take	were	only	well	want	much	world	also	video	year	while	need	last	could	best	week	those	made	may	before	too	why	very	right	even	something	think	being	around	going	down	google	through	should	things	where	good	free	next	off	might	top	said	using	same	every	few	between	look	long	got	great	better	news	story	her	big	used	little	online	internet	full	days	always	media	since	help	show	really	ever	three	working	company	times	live	real	doesn	own	say	life	site	lot	part	social	business	him	find	called	making	sure	without	let	email	thing	old	ago	different	come	blog	app	play	change	keep	never	end	friends	hard	does	both	did	makes	start	users	future	number	high	comes	buy	though	easy	actually	twitter	art	music	another	links	each	available	data	information	set	com	she	reading	everyone	money	instead	bad	left	says	didn	small	thanksgiving	web	including	home	yet	point	case	list	love	stop	black	recently	support	open	found	try	game	talk	almost	check	second	such	less	content	getting	book	away	night	month	during	isn	nbsp	holiday	already	looking	family	man	public	report	once	via	doing	told	early	bit	often	york	service	past	interesting	coming	later	however	friday	million	line	run	give	continue	means	based	page	everything	until	youtube	able	finally	far	process	stuff	deal	again	turn	happy	whole	recent	comments	space	digital	behind	idea	design	four	feature	done	least	under	course	quite	major	group	share	earlier	technology	problem	put	enough	short	store	team	community	anything	link	together	shows	feel	click	search	fact	months	important	add	place	nothing	whether	power	probably	house	phone	writing	hit	update	american	images	version	original	trying	pretty	won	questions	videos	several	example	project	having	system	government	started	weeks	website	must	simple	watch	along	five	network	mobile	facebook	control	went	itself	thought	changes	women	november	needs	call	image	hours	science	else	tell	create	program	fast	city	takes	latest	features	anyone	favorite	order	white	ways	view	photos	couple	become	thanks	guide	lost	across	school	released	action	customers	results	remember	article	user	software	according	minutes	took	amp	likely	photo	launch	against	either	believe	key	below	asked	san	side	tools	added	state	build	experience	sometimes	product	close	goes	local	press	president	person	seems	above	pay	secret	hand	head	someone	series	came	awesome	large	posted	face	android	reason	step	decided	single	amazon	known	six	gets	chance	running	please	text	following	wants	former	places	worth	cost	non	tuesday	yes	sites	services	access	level	platform	rather	kind	include	name	possible	hope	voice	question	starting	understand	national	value	tool	hear	apps	screen	owners	microsoft	move	interview	terms	happen	care	price	stories	human	film	taking	cool	given	creating	related	reports	review	device	marketing	write	yourself	building	mark	others	tech	saying	originally	books	john	america	learned	popular	party	personal	weekend	performance	entire	wrote	ability	wasn	industry	obama	david	half	written	companies	points	appeared	maybe	spent	center	reasons	due	drive	rest	items
Kotaku	3	5	3	3	3	1	1	3	2	2	3	3	0	1	2	1	1	1	1	2	1	0	1	24	1	0	2	3	0	1	1	0	9	1	12	1	1	0	2	3	2	0	0	5	0	2	1	0	1	1	0	1	2	0	1	2	1	0	1	0	1	0	1	0	2	2	1	1	0	0	0	0	1	0	3	1	2	3	1	2	1	0	1	0	2	2	0	0	1	2	0	0	1	0	1	0	1	0	0	1	1	0	2	0	0	1	0	1	1	0	0	2	0	0	0	0	0	1	0	3	0	1	2	0	2	0	0	0	0	0	0	0	0	0	3	0	3	1	0	0	0	0	4	0	0	2	0	1	0	2	0	0	1	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	2	0	0	0	10	1	1	1	0	0	15	3	1	1	2	0	0	1	3	0	1	0	2	3	1	0	6	0	2	0	2	0	0	0	0	0	2	0	1	0	0	0	1	0	2	0	0	8	0	0	0	0	0	0	1	0	0	0	2	0	2	1	0	1	1	1	2	2	0	0	1	0	1	0	0	0	1	0	0	1	1	2	0	1	0	0	2	0	1	1	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	2	2	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	1	4	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0
The Clip Report	0	0	0	0	2	0	4	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	3	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	10	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	1	4	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
@ProBlogger	3	1	3	2	3	1	3	2	0	2	9	0	2	1	3	6	4	3	2	0	8	3	2	1	1	0	0	0	1	0	1	1	0	1	0	2	2	0	2	0	0	1	1	2	4	3	2	4	1	2	1	2	5	3	0	1	1	3	1	6	3	1	1	0	1	1	3	2	0	0	1	5	3	0	0	0	0	1	0	0	0	3	0	0	0	1	0	1	0	0	4	2	2	0	1	2	1	2	0	1	0	0	0	0	1	1	1	2	1	5	5	0	1	0	1	0	1	0	1	6	0	1	0	1	50	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	1	1	0	1	0	1	1	0	0	1	1	0	0	0	1	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	3	1	0	1	0	9	0	2	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	2	0	0	0	0	0	0	4	0	0	0	0	0	1	0	3	0	1	0	0	0	1	2	1	1	0	0	0	0	0	2	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	1	0	0	5	0	0	0	2	0	0	0	0	0	0	0	0	2	0	3	0	0	2	0	0	0	0	1	1	4	0	0	5	0	0	0	3	2	0	0	2	2	2	0	0	1	0	4	0	2	0	2	1	0	0	0	0	1	0	0	1	0	1	0	2	3	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	3	1	0	0	1	1	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	2	1	1	1	0	0	0	0	0	0	0	0	1	1	0	1	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	7	0	3	1	0	0	0	0	20	0	0	2	2	2	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0
How to Change the World	0	1	0	0	1	0	2	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
43 Folders	16	41	36	45	21	20	13	10	28	46	16	57	26	18	38	20	2	36	24	20	11	40	25	43	25	59	10	16	22	24	26	37	13	27	14	14	10	21	13	24	14	11	27	28	15	13	14	32	29	24	50	23	31	17	10	7	9	2	7	16	55	20	26	8	3	13	16	2	14	8	9	12	13	3	5	21	2	14	27	1	6	17	25	6	28	1	3	7	7	20	2	5	30	4	77	26	3	7	2	3	8	19	18	13	21	32	2	39	17	1	8	12	10	3	11	10	12	17	11	33	10	3	7	5	5	8	6	13	10	26	7	5	16	5	8	13	5	11	5	8	9	0	5	5	2	5	14	4	3	0	10	2	13	5	3	6	3	17	29	13	8	5	4	6	2	13	8	2	0	10	8	6	6	21	3	3	15	11	1	1	3	4	1	18	2	22	13	2	8	6	16	1	11	25	7	5	2	2	0	1	1	13	2	4	7	1	0	4	1	16	6	4	7	19	1	3	8	2	1	5	1	2	0	3	6	4	4	11	2	4	12	15	0	1	6	7	2	27	2	10	5	6	4	2	0	1	0	2	6	10	5	1	10	11	20	2	5	4	0	4	2	3	15	3	15	3	0	2	0	14	2	3	0	7	2	0	9	4	13	1	7	7	14	7	8	2	1	4	3	4	2	0	3	2	10	11	10	0	0	2	0	3	11	4	0	2	1	1	1	7	6	1	4	4	1	1	3	2	6	10	4	0	1	4	3	0	4	0	7	17	0	0	2	0	4	0	2	14	10	8	0	5	4	0	7	12	13	1	1	0	0	1	1	3	2	6	4	0	1	0	7	2	11	4	2	0	4	7	9	2	0	1	2	4	5	0	0	2	4	15	4	2	10	0	0	0	8	2	1	3	0	3	1	7	0	1	19	3	15	5	0	5	4	18	6	1	2	4	13	3	4	16	4	2	3	0	2	5	0	9	0	13	0	3	0	3	0	8	9	1	3	5	20	4	3	5	14	0	3	3	8	5	1	0	0	1	9	3	3	27	5	2	4	0	1	3	3	0	3	0	1	1	0	3	15	3	3	4	0	11	15	1	15	1	3	2	0	4	0	1	1	2	0	2	1	0	4	9	16	2	5	0	14	2	0	2	2	0	0	3
Search Engine Watch - Latest	0	1	1	2	1	1	0	0	1	1	0	0	1	1	2	2	1	1	2	0	5	2	3	0	0	0	0	3	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	26	1	1	0	3	1	1	0	0	1	4	0	1	1	1	0	1	2	2	0	0	2	1	0	0	0	0	0	0	1	0	0	1	9	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	13	0	0	4	1	2	0	0	0	2	0	0	0	1	0	0	2	3	3	0	0	0	0	0	0	1	0	0	0	2	1	1	1	0	0	0	2	0	2	0	0	1	3	0	1	2	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	2	0	0	1	0	4	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	2	3	6	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	1	0	0	3	0	0	3	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Daily Kos	22	29	42	12	19	34	17	17	32	26	25	27	18	20	21	18	11	15	26	27	8	19	11	4	16	21	15	30	22	13	15	20	13	28	4	48	18	14	20	31	7	11	31	13	12	20	11	12	13	11	29	9	20	18	10	11	12	0	18	21	8	13	21	9	16	22	9	13	34	3	9	15	11	7	9	12	7	11	11	20	12	25	17	7	9	9	0	2	11	4	12	17	9	13	15	4	12	20	13	14	17	11	11	8	15	5	1	6	18	14	10	5	11	5	7	7	6	1	2	6	6	10	2	12	1	2	2	11	4	3	9	3	15	8	12	8	8	5	1	3	11	7	3	2	17	1	13	3	0	1	15	0	9	5	3	8	1	4	13	3	5	13	6	8	3	13	5	12	37	0	18	12	8	4	12	3	0	3	13	3	10	11	9	4	3	3	4	3	4	12	22	0	6	0	4	2	20	7	16	26	9	18	1	14	4	9	7	6	5	5	8	7	1	2	1	3	13	3	7	2	5	15	15	0	7	8	3	11	4	5	6	3	0	2	2	9	3	2	25	7	5	3	4	5	5	1	0	4	6	0	10	1	4	13	14	11	2	3	10	1	6	0	1	6	11	5	1	1	4	5	2	6	10	5	6	4	7	10	4	3	5	3	10	3	10	12	0	0	1	0	10	0	1	1	4	6	14	2	0	2	4	1	3	4	14	2	3	5	4	1	0	0	6	6	2	3	8	2	5	5	7	12	7	4	3	0	4	1	4	4	2	16	1	0	6	4	1	5	4	2	5	4	1	0	3	3	8	0	6	6	2	5	7	4	3	8	0	0	0	18	1	1	6	4	0	2	12	2	7	3	13	5	2	4	1	4	43	2	7	0	0	10	4	12	1	21	6	4	3	18	2	3	1	1	3	0	0	1	1	2	0	4	3	5	3	0	10	14	4	2	6	5	0	2	3	6	1	1	13	6	7	1	0	11	5	7	1	3	2	4	0	5	1	0	3	2	1	16	0	0	5	0	0	3	0	2	0	4	4	34	1	12	7	1	7	0	2	2	2	5	2	2	0	0	0	1	3	3	0	2	2	2	6	13	2	3	12	2	3	2	2	1	1	3	1	27	3	4	0	5	5	2	5	3	7	2	3	7	4	0
Deadspin	1	3	0	0	1	0	0	4	9	0	3	6	6	0	0	0	2	1	2	1	1	0	1	22	2	0	0	1	0	1	1	0	2	1	2	1	0	0	1	3	2	5	0	0	0	2	1	1	0	0	0	0	0	2	1	0	1	0	1	3	0	0	0	2	1	0	1	1	1	0	2	4	1	0	2	1	2	0	1	1	1	2	0	0	1	0	0	1	0	1	0	1	0	0	1	1	2	0	0	1	0	1	1	1	0	1	0	1	1	0	0	2	0	1	0	0	0	0	1	0	1	0	0	4	0	0	2	0	0	0	0	0	0	3	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	3	0	1	0	0	0	1	1	0	1	8	0	0	0	0	0	0	0	0	2	0	0	2	0	0	1	2	0	0	2	0	0	0	1	1	0	1	1	2	1	0	0	0	0	1	1	1	0	0	1	0	1	0	0	0	2	1	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	3	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	1	0	0	0	0	0	3	3	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
The Dish	0	5	6	0	1	5	3	6	8	1	3	3	4	2	2	3	0	3	2	1	1	2	1	0	1	1	2	4	2	0	1	3	4	2	1	0	2	1	0	1	3	0	1	0	1	1	3	1	0	2	1	1	3	3	2	2	1	0	6	1	1	0	0	0	2	0	3	1	1	1	2	1	1	3	0	3	2	2	0	2	0	0	1	0	1	1	0	0	0	2	0	2	0	1	1	2	1	1	5	3	0	0	1	0	3	4	1	1	0	0	1	1	2	0	3	0	1	0	0	1	0	0	0	2	0	0	0	0	4	1	4	1	0	1	1	0	1	0	0	0	0	0	2	0	0	0	2	0	4	0	1	0	1	3	1	2	0	0	1	2	0	0	0	0	1	1	0	1	1	0	0	0	1	2	0	0	1	0	0	0	0	2	1	0	1	0	2	0	1	0	1	1	0	2	3	1	1	0	1	0	0	1	0	0	1	1	0	0	0	1	0	1	0	3	2	0	0	1	0	0	2	0	1	2	0	0	1	0	0	1	2	1	0	1	0	0	0	0	4	1	0	0	0	0	0	0	0	0	1	0	0	2	0	1	1	2	1	1	0	1	0	0	0	0	0	1	2	0	0	1	1	0	0	1	0	0	1	1	2	1	2	0	1	3	0	0	0	0	1	0	1	0	0	0	0	1	1	3	0	0	1	0	1	0	1	0	0	0	1	2	0	0	0	0	0	0	1	0	3	2	0	2	1	0	0	0	1	2	1	1	0	0	0	0	3	0	0	0	0	1	0	3	2	0	0	1	1	0	0	2	0	2	3	0	1	1	0	0	0	0	0	2	0	0	0	1	4	0	3	0	1	1	0	0	0	0	2	0	0	0	0	0	1	0	1	3	0	0	2	0	0	0	0	1	0	1	1	1	0	2	0	0	0	0	0	0	2	2	0	0	0	1	2	0	0	1	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	2	1	0	0	1	0	1	0	0	1	0	0	0	0	0	2	0	2	2	3	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	2	0	1	1	1	1	0	0	0	1	0	1	0	0	0	0	6	1	0	0	1	0	0	0	0	0	0	0	0	0	0
Go Fug Yourself	0	0	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	1	0	1	0	1	0	3	0	0	0	0	10	5	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	1	1	0	1	0	0	0	0	0	1	0	1	0	1	0	0	5	0	0	0	0	0	10	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	10	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	20	1	0	0	0	0	0	2	19	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O'Reilly Radar	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	3	2	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	1	2	0	0	0	0	1	0	2	2	0	0	0	0	2	0	0	2	0	0	0	3	0	1	0	2	3	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	2	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	2	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Power Line	2	1	1	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	2	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	2	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
